trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_vaegir_veteran_pl|维 吉 亚 资 深 士 兵 
trp_vaegir_infantry|维 吉 亚 步 兵 
trp_vaegir_infantry_pl|维 吉 亚 步 兵 
trp_vaegir_guard|维 吉 亚 卫 士 
trp_vaegir_guard_pl|维 吉 亚 卫 士 
trp_vaegir_horseman|维 吉 亚 骑 手 
trp_vaegir_horseman_pl|维 吉 亚 骑 手 
trp_vaegir_knight|维 吉 亚 骑 士 
trp_vaegir_knight_pl|维 吉 亚 骑 士 
trp_vaegir_messenger|维 吉 亚 传 令 兵 
trp_vaegir_messenger_pl|维 吉 亚 传 令 兵 
trp_vaegir_deserter|维 吉 亚 逃 兵 
trp_vaegir_deserter_pl|维 吉 亚 逃 兵 
trp_vaegir_prison_guard|监 狱 守 卫 
trp_vaegir_prison_guard_pl|监 狱 守 卫 
trp_vaegir_castle_guard|城 堡 护 卫 
trp_vaegir_castle_guard_pl|城 堡 护 卫 
trp_khergit_tribesman|库 吉 特 族 人 
trp_khergit_tribesman_pl|库 吉 特 族 人 
trp_khergit_skirmisher|库 吉 特 游 击 射 手 
trp_khergit_skirmisher_pl|库 吉 特 游 击 射 手 
trp_khergit_horseman|库 吉 特 骑 手 
trp_khergit_horseman_pl|库 吉 特 骑 手 
trp_khergit_horse_archer|库 吉 特 骑 射 手 
trp_khergit_horse_archer_pl|库 吉 特 骑 射 手 
trp_khergit_veteran_horse_archer|库 吉 特 资 深 骑 射 手 
trp_khergit_veteran_horse_archer_pl|库 吉 特 资 深 骑 射 手 
trp_khergit_lancer|库 吉 特 枪 骑 兵 
trp_khergit_lancer_pl|库 吉 特 枪 骑 兵 
trp_khergit_messenger|库 吉 特 传 令 兵 
trp_khergit_messenger_pl|库 吉 特 传 令 兵 
trp_khergit_deserter|库 吉 特 逃 兵 
trp_khergit_deserter_pl|库 吉 特 逃 兵 
trp_khergit_prison_guard|监 狱 守 卫 
trp_khergit_prison_guard_pl|监 狱 守 卫 
trp_khergit_castle_guard|城 堡 护 卫 
trp_khergit_castle_guard_pl|城 堡 护 卫 
trp_nord_recruit|诺 德 新 兵 
trp_nord_recruit_pl|诺 德 新 兵 
trp_nord_footman|诺 德 轻 步 兵 
trp_nord_footman_pl|诺 德 轻 步 兵 
trp_nord_trained_footman|诺 德 熟 练 轻 步 兵 
trp_nord_trained_footman_pl|诺 德 熟 练 轻 步 兵 
trp_nord_warrior|诺 德 勇 士 
trp_nord_warrior_pl|诺 德 勇 士 
trp_nord_veteran|诺 德 资 深 士 兵 
trp_nord_veteran_pl|诺 德 资 深 士 兵 
trp_nord_champion|诺 德 皇 家 侍 卫 
trp_nord_champion_pl|诺 德 皇 家 侍 卫 
trp_nord_huntsman|诺 德 猎 人 
trp_nord_huntsman_pl|诺 德 猎 人 
trp_nord_archer|诺 德 弓 箭 手 
trp_nord_archer_pl|诺 德 弓 箭 手 
trp_nord_veteran_archer|诺 德 资 深 弓 箭 手 
trp_nord_veteran_archer_pl|诺 德 资 深 弓 箭 手 
trp_nord_messenger|诺 德 传 令 兵 
trp_nord_messenger_pl|诺 德 传 令 兵 
trp_nord_deserter|诺 德 逃 兵 
trp_nord_deserter_pl|诺 德 逃 兵 
trp_nord_prison_guard|监 狱 守 卫 
trp_nord_prison_guard_pl|监 狱 守 卫 
trp_nord_castle_guard|城 堡 护 卫 
trp_nord_castle_guard_pl|城 堡 护 卫 
trp_rhodok_tribesman|罗 多 克 族 人 
trp_rhodok_tribesman_pl|罗 多 克 族 人 
trp_rhodok_spearman|罗 多 克 长 矛 手 
trp_rhodok_spearman_pl|罗 多 克 长 矛 手 
trp_rhodok_trained_spearman|罗 多 克 熟 练 长 矛 手 
trp_rhodok_trained_spearman_pl|罗 多 克 熟 练 长 矛 手 
trp_rhodok_veteran_spearman|罗 多 克 资 深 长 矛 手 
trp_rhodok_veteran_spearman_pl|罗 多 克 资 深 长 矛 手 
trp_rhodok_sergeant|罗 多 克 军 士 
trp_rhodok_sergeant_pl|罗 多 克 军 士 
trp_rhodok_crossbowman|罗 多 克 弩 手 
trp_rhodok_crossbowman_pl|罗 多 克 弩 手 
trp_rhodok_trained_crossbowman|罗 多 克 熟 练 弩 手 
trp_rhodok_trained_crossbowman_pl|罗 多 克 熟 练 弩 手 
trp_rhodok_veteran_crossbowman|罗 多 克 资 深 弩 手 
trp_rhodok_veteran_crossbowman_pl|罗 多 克 资 深 弩 手 
trp_rhodok_sharpshooter|罗 多 克 神 射 手 
trp_rhodok_sharpshooter_pl|罗 多 克 神 射 手 
trp_rhodok_messenger|罗 多 克 传 令 兵 
trp_rhodok_messenger_pl|罗 多 克 传 令 兵 
trp_rhodok_deserter|罗 多 克 逃 兵 
trp_rhodok_deserter_pl|罗 多 克 逃 兵 
trp_rhodok_prison_guard|监 狱 守 卫 
trp_rhodok_prison_guard_pl|监 狱 守 卫 
trp_rhodok_castle_guard|城 堡 护 卫 
trp_rhodok_castle_guard_pl|城 堡 护 卫 
trp_sarranid_recruit|萨 兰 德 新 兵 
trp_sarranid_recruit_pl|萨 兰 德 新 兵 
trp_sarranid_footman|萨 兰 德 轻 步 兵 
trp_sarranid_footman_pl|萨 兰 德 轻 步 兵 
trp_sarranid_veteran_footman|萨 兰 德 资 深 轻 步 兵 
trp_sarranid_veteran_footman_pl|萨 兰 德 资 深 轻 步 兵 
trp_sarranid_infantry|萨 兰 德 步 兵 
trp_sarranid_infantry_pl|萨 兰 德 步 兵 
trp_sarranid_guard|萨 兰 德 卫 士 
trp_sarranid_guard_pl|萨 兰 德 卫 士 
trp_sarranid_skirmisher|萨 兰 德 游 击 射 手 
trp_sarranid_skirmisher_pl|萨 兰 德 游 击 射 手 
trp_sarranid_archer|萨 兰 德 弓 箭 手 
trp_sarranid_archer_pl|萨 兰 德 弓 箭 手 
trp_sarranid_master_archer|萨 兰 德 精 锐 弓 箭 手 
trp_sarranid_master_archer_pl|萨 兰 德 精 锐 弓 箭 手 
trp_sarranid_horseman|萨 兰 德 骑 手 
trp_sarranid_horseman_pl|萨 兰 德 骑 手 
trp_sarranid_mamluke|萨 兰 德 马 穆 鲁 克 
trp_sarranid_mamluke_pl|萨 兰 德 马 穆 鲁 克 
trp_sarranid_messenger|萨 兰 德 传 令 兵 
trp_sarranid_messenger_pl|萨 兰 德 传 令 兵 
trp_sarranid_deserter|萨 兰 德 逃 兵 
trp_sarranid_deserter_pl|萨 兰 德 逃 兵 
trp_sarranid_prison_guard|监 狱 守 卫 
trp_sarranid_prison_guard_pl|监 狱 守 卫 
trp_sarranid_castle_guard|城 堡 护 卫 
trp_sarranid_castle_guard_pl|城 堡 护 卫 
trp_looter|劫 匪 
trp_looter_pl|劫 匪 
trp_bandit|强 盗 
trp_bandit_pl|强 盗 
trp_brigand|土 匪 
trp_brigand_pl|土 匪 
trp_mountain_bandit|山 贼 
trp_mountain_bandit_pl|山 贼 
trp_forest_bandit|绿 林 强 盗 
trp_forest_bandit_pl|绿 林 强 盗 
trp_sea_raider|海 寇 
trp_sea_raider_pl|海 寇 
trp_steppe_bandit|响 马 
trp_steppe_bandit_pl|响 马 
trp_taiga_bandit|雪 原 强 盗 
trp_taiga_bandit_pl|雪 原 强 盗 
trp_desert_bandit|沙 漠 强 盗 
trp_desert_bandit_pl|沙 漠 强 盗 
trp_black_khergit_horseman|黑 旗 库 吉 特 骑 手 
trp_black_khergit_horseman_pl|黑 旗 库 吉 特 骑 手 
trp_manhunter|赏 金 猎 人 
trp_manhunter_pl|赏 金 猎 人 
trp_slave_driver|奴 贩 押 解 
trp_slave_driver_pl|奴 贩 押 解 
trp_slave_hunter|奴 贩 猎 手 
trp_slave_hunter_pl|奴 贩 猎 手 
trp_slave_crusher|奴 贩 打 手 
trp_slave_crusher_pl|奴 贩 打 手 
trp_slaver_chief|奴 贩 首 领 
trp_slaver_chief_pl|奴 贩 首 领 
trp_follower_woman|随 营 妇 女 
trp_follower_woman_pl|随 营 妇 女 
trp_hunter_woman|女 猎 手 
trp_hunter_woman_pl|女 猎 手 
trp_fighter_woman|女 护 卫 
trp_fighter_woman_pl|女 护 卫 
trp_sword_sister|女 剑 士 
trp_sword_sister_pl|女 剑 士 
trp_refugee|难 民 
trp_refugee_pl|难 民 
trp_peasant_woman|农 妇 
trp_peasant_woman_pl|农 妇 
trp_caravan_master|商 队 头 领 
trp_caravan_master_pl|商 队 头 领 
trp_kidnapped_girl|被 绑 架 的 女 孩 
trp_kidnapped_girl_pl|被 绑 架 的 女 孩 
trp_town_walker_1|市 民 
trp_town_walker_1_pl|市 民 
trp_town_walker_2|市 民 
trp_town_walker_2_pl|市 民 
trp_khergit_townsman|市 民 
trp_khergit_townsman_pl|市 民 
trp_khergit_townswoman|市 民 
trp_khergit_townswoman_pl|市 民 
trp_sarranid_townsman|市 民 
trp_sarranid_townsman_pl|市 民 
trp_sarranid_townswoman|市 民 
trp_sarranid_townswoman_pl|市 民 
trp_village_walker_1|村 民 
trp_village_walker_1_pl|村 民 
trp_village_walker_2|村 民 
trp_village_walker_2_pl|村 民 
trp_spy_walker_1|市 民 
trp_spy_walker_1_pl|市 民 
trp_spy_walker_2|市 民 
trp_spy_walker_2_pl|市 民 
trp_tournament_master|竞 技 场 老 板 
trp_tournament_master_pl|竞 技 场 老 板 
trp_trainer|教 练 
trp_trainer_pl|教 练 
trp_constable_hareck|治 安 官 哈 瑞 克 
trp_constable_hareck_pl|治 安 官 哈 瑞 克 
trp_ramun_the_slave_trader|奴 隶 贩 子 拉 蒙 
trp_ramun_the_slave_trader_pl|奴 隶 贩 子 拉 蒙 
trp_guide|机 灵 鬼 吉 米 
trp_guide_pl|机 灵 鬼 吉 米 
trp_xerina|谢 瑞 娜 
trp_xerina_pl|谢 瑞 娜 
trp_dranton|德 朗 顿 
trp_dranton_pl|德 朗 顿 
trp_kradus|喀 拉 杜 斯 
trp_kradus_pl|喀 拉 杜 斯 
trp_tutorial_trainer|训 练 场 教 练 
trp_tutorial_trainer_pl|训 练 场 教 练 
trp_galeas|盖 里 阿 斯 
trp_galeas_pl|盖 里 阿 斯 
trp_farmer_from_bandit_village|农 民 
trp_farmer_from_bandit_village_pl|农 民 
trp_trainer_1|教 练 
trp_trainer_1_pl|教 练 
trp_trainer_2|教 练 
trp_trainer_2_pl|教 练 
trp_trainer_3|教 练 
trp_trainer_3_pl|教 练 
trp_trainer_4|教 练 
trp_trainer_4_pl|教 练 
trp_trainer_5|教 练 
trp_trainer_5_pl|教 练 
trp_ransom_broker_1|奴 隶 贩 子 
trp_ransom_broker_1_pl|奴 隶 贩 子 
trp_ransom_broker_2|奴 隶 贩 子 
trp_ransom_broker_2_pl|奴 隶 贩 子 
trp_ransom_broker_3|奴 隶 贩 子 
trp_ransom_broker_3_pl|奴 隶 贩 子 
trp_ransom_broker_4|奴 隶 贩 子 
trp_ransom_broker_4_pl|奴 隶 贩 子 
trp_ransom_broker_5|奴 隶 贩 子 
trp_ransom_broker_5_pl|奴 隶 贩 子 
trp_ransom_broker_6|奴 隶 贩 子 
trp_ransom_broker_6_pl|奴 隶 贩 子 
trp_ransom_broker_7|奴 隶 贩 子 
trp_ransom_broker_7_pl|奴 隶 贩 子 
trp_ransom_broker_8|奴 隶 贩 子 
trp_ransom_broker_8_pl|奴 隶 贩 子 
trp_ransom_broker_9|奴 隶 贩 子 
trp_ransom_broker_9_pl|奴 隶 贩 子 
trp_ransom_broker_10|奴 隶 贩 子 
trp_ransom_broker_10_pl|奴 隶 贩 子 
trp_tavern_traveler_1|旅 行 者 
trp_tavern_traveler_1_pl|旅 行 者 
trp_tavern_traveler_2|旅 行 者 
trp_tavern_traveler_2_pl|旅 行 者 
trp_tavern_traveler_3|旅 行 者 
trp_tavern_traveler_3_pl|旅 行 者 
trp_tavern_traveler_4|旅 行 者 
trp_tavern_traveler_4_pl|旅 行 者 
trp_tavern_traveler_5|旅 行 者 
trp_tavern_traveler_5_pl|旅 行 者 
trp_tavern_traveler_6|旅 行 者 
trp_tavern_traveler_6_pl|旅 行 者 
trp_tavern_traveler_7|旅 行 者 
trp_tavern_traveler_7_pl|旅 行 者 
trp_tavern_traveler_8|旅 行 者 
trp_tavern_traveler_8_pl|旅 行 者 
trp_tavern_traveler_9|旅 行 者 
trp_tavern_traveler_9_pl|旅 行 者 
trp_tavern_traveler_10|旅 行 者 
trp_tavern_traveler_10_pl|旅 行 者 
trp_tavern_bookseller_1|书 籍 商 人 
trp_tavern_bookseller_1_pl|书 籍 商 人 
trp_tavern_bookseller_2|书 籍 商 人 
trp_tavern_bookseller_2_pl|书 籍 商 人 
trp_tavern_minstrel_1|游 方 艺 人 
trp_tavern_minstrel_1_pl|游 方 艺 人 
trp_tavern_minstrel_2|著 名 作 家 
trp_tavern_minstrel_2_pl|游 方 艺 人 
trp_tavern_minstrel_3|神 秘 乐 师 
trp_tavern_minstrel_3_pl|游 方 艺 人 
trp_tavern_minstrel_4|宫 廷 诗 人 
trp_tavern_minstrel_4_pl|游 方 艺 人 
trp_tavern_minstrel_5|吟 游 诗 人 
trp_tavern_minstrel_5_pl|游 方 艺 人 
trp_kingdom_heroes_including_player_begin|kingdom heroes including player begin 
trp_kingdom_heroes_including_player_begin_pl|kingdom heroes including player begin 
trp_npc1|波 尔 查 
trp_npc1_pl|波 尔 查 
trp_npc2|马 尼 德 
trp_npc2_pl|马 尼 德 
trp_npc3|雅 米 拉 
trp_npc3_pl|雅 米 拉 
trp_npc4|罗 尔 夫 
trp_npc4_pl|罗 尔 夫 
trp_npc5|贝 斯 图 尔 
trp_npc5_pl|贝 斯 图 尔 
trp_npc6|法 提 斯 
trp_npc6_pl|法 提 斯 
trp_npc7|德 赛 维 
trp_npc7_pl|德 赛 维 
trp_npc8|马 蒂 尔 德 
trp_npc8_pl|马 蒂 尔 德 
trp_npc9|艾 雷 恩 
trp_npc9_pl|艾 雷 恩 
trp_npc10|班 达 克 
trp_npc10_pl|班 达 克 
trp_npc11|凯 特 琳 
trp_npc11_pl|凯 特 琳 
trp_npc12|杰 姆 斯 
trp_npc12_pl|杰 姆 斯 
trp_npc13|尼 扎 
trp_npc13_pl|尼 扎 
trp_npc14|雷 萨 里 特 
trp_npc14_pl|雷 萨 里 特 
trp_npc15|亚 提 曼 
trp_npc15_pl|亚 提 曼 
trp_npc16|克 雷 斯 
trp_npc16_pl|克 雷 斯 
trp_kingdom_1_lord|哈 劳 斯 国 王 
trp_kingdom_1_lord_pl|哈 劳 斯 
trp_kingdom_2_lord|亚 罗 格 尔 克 国 王 
trp_kingdom_2_lord_pl|亚 罗 格 尔 克 
trp_kingdom_3_lord|塞 加 可 汗 
trp_kingdom_3_lord_pl|塞 加 
trp_kingdom_4_lord|拉 格 纳 国 王 
trp_kingdom_4_lord_pl|拉 格 纳 
trp_kingdom_5_lord|葛 瑞 福 斯 国 王 
trp_kingdom_5_lord_pl|葛 瑞 福 斯 
trp_kingdom_6_lord|哈 基 姆 苏 丹 
trp_kingdom_6_lord_pl|哈 基 姆 
trp_knight_1_1|克 拉 格 斯 波 耶 
trp_knight_1_1_pl|克 拉 格 斯 
trp_knight_1_2|迪 林 纳 德 领 主 
trp_knight_1_2_pl|迪 林 纳 德 
trp_knight_1_3|哈 伦 哥 斯 伯 爵 
trp_knight_1_3_pl|哈 伦 哥 斯 
trp_knight_1_4|克 莱 斯 伯 爵 
trp_knight_1_4_pl|克 莱 斯 
trp_knight_1_5|戴 格 兰 那 伯 爵 
trp_knight_1_5_pl|戴 格 兰 那 
trp_knight_1_6|特 瑞 典 领 主 
trp_knight_1_6_pl|特 瑞 典 
trp_knight_1_7|格 雷 恩 沃 德 领 主 
trp_knight_1_7_pl|格 雷 恩 沃 德 
trp_knight_1_8|瑞 伊 斯 领 主 
trp_knight_1_8_pl|瑞 伊 斯 
trp_knight_1_9|普 拉 伊 斯 领 主 
trp_knight_1_9_pl|普 拉 伊 斯 
trp_knight_1_10|米 乔 德 伯 爵 
trp_knight_1_10_pl|米 乔 德 
trp_knight_1_11|斯 达 玛 领 主 
trp_knight_1_11_pl|斯 达 玛 
trp_knight_1_12|梅 尔 特 波 耶 
trp_knight_1_12_pl|梅 尔 特 
trp_knight_1_13|伯 兰 兹 领 主 
trp_knight_1_13_pl|伯 兰 兹 
trp_knight_1_14|拉 法 德 领 主 
trp_knight_1_14_pl|拉 法 德 
trp_knight_1_15|罗 格 斯 领 主 
trp_knight_1_15_pl|罗 格 斯 
trp_knight_1_16|戴 尔 威 廉 领 主 
trp_knight_1_16_pl|戴 尔 威 廉 
trp_knight_1_17|拉 法 齐 伯 爵 
trp_knight_1_17_pl|拉 法 齐 
trp_knight_1_18|罗 车 巴 斯 波 耶 
trp_knight_1_18_pl|罗 车 巴 斯 
trp_knight_1_19|迪 斯 平 伯 爵 
trp_knight_1_19_pl|迪 斯 平 
trp_knight_1_20|蒙 特 维 尔 领 主 
trp_knight_1_20_pl|蒙 特 维 尔 
trp_knight_2_1|伏 尔 德 拉 特 波 耶 
trp_knight_2_1_pl|伏 尔 德 拉 特 
trp_knight_2_2|罗 德 拉 领 主 
trp_knight_2_2_pl|罗 德 拉 
trp_knight_2_3|马 利 加 领 主 
trp_knight_2_3_pl|马 利 加 
trp_knight_2_4|哈 维 尔 波 耶 
trp_knight_2_4_pl|哈 维 尔 
trp_knight_2_5|多 鲁 波 耶 
trp_knight_2_5_pl|多 鲁 
trp_knight_2_6|贝 尔 加 鲁 领 主 
trp_knight_2_6_pl|贝 尔 加 鲁 
trp_knight_2_7|拉 尔 恰 领 主 
trp_knight_2_7_pl|拉 尔 恰 
trp_knight_2_8|维 兰 波 耶 
trp_knight_2_8_pl|维 兰 
trp_knight_2_9|穆 列 扎 领 主 
trp_knight_2_9_pl|穆 列 扎 
trp_knight_2_10|奈 尔 格 伯 爵 
trp_knight_2_10_pl|奈 尔 格 
trp_knight_2_11|格 拉 斯 克 伯 爵 
trp_knight_2_11_pl|格 拉 斯 克 
trp_knight_2_12|博 拉 查 伯 爵 
trp_knight_2_12_pl|博 拉 查 
trp_knight_2_13|德 鲁 波 耶 
trp_knight_2_13_pl|德 鲁 
trp_knight_2_14|马 穆 恩 伯 爵 
trp_knight_2_14_pl|马 穆 恩 
trp_knight_2_15|加 斯 提 亚 伯 爵 
trp_knight_2_15_pl|加 斯 提 亚 
trp_knight_2_16|哈 瑞 斯 波 耶 
trp_knight_2_16_pl|哈 瑞 斯 
trp_knight_2_17|泰 沙 领 主 
trp_knight_2_17_pl|泰 沙 
trp_knight_2_18|瓦 里 西 恩 领 主 
trp_knight_2_18_pl|瓦 里 西 恩 
trp_knight_2_19|鲁 迪 波 耶 
trp_knight_2_19_pl|鲁 迪 
trp_knight_2_20|库 穆 巴 领 主 
trp_knight_2_20_pl|库 穆 巴 
trp_knight_3_1|阿 骨 尔 领 主 
trp_knight_3_1_pl|阿 骨 尔 
trp_knight_3_2|拖 巨 伯 爵 
trp_knight_3_2_pl|拖 巨 
trp_knight_3_3|博 力 波 耶 
trp_knight_3_3_pl|博 力 
trp_knight_3_4|阿 速 干 伯 爵 
trp_knight_3_4_pl|阿 速 干 
trp_knight_3_5|博 虏 剌 领 主 
trp_knight_3_5_pl|博 虏 剌 
trp_knight_3_6|伊 迷 扎 领 主 
trp_knight_3_6_pl|伊 迷 扎 
trp_knight_3_7|乌 幕 答 领 主 
trp_knight_3_7_pl|乌 幕 答 
trp_knight_3_8|剌 幕 克 波 耶 
trp_knight_3_8_pl|剌 幕 克 
trp_knight_3_9|察 乌 卡 领 主 
trp_knight_3_9_pl|察 乌 卡 
trp_knight_3_10|色 布 剌 伯 爵 
trp_knight_3_10_pl|色 布 剌 
trp_knight_3_11|屠 卢 哥 伯 爵 
trp_knight_3_11_pl|屠 卢 哥 
trp_knight_3_12|那 颜 纳 伯 爵 
trp_knight_3_12_pl|纳 速 给 
trp_knight_3_13|乌 拜 领 主 
trp_knight_3_13_pl|乌 拜 
trp_knight_3_14|忽 古 领 主 
trp_knight_3_14_pl|忽 古 
trp_knight_3_15|坦 速 该 领 主 
trp_knight_3_15_pl|坦 速 该 
trp_knight_3_16|提 力 达 波 耶 
trp_knight_3_16_pl|提 力 达 
trp_knight_3_17|乌 虏 撒 买 伯 爵 
trp_knight_3_17_pl|乌 虏 撒 买 
trp_knight_3_18|喀 剌 般 波 耶 
trp_knight_3_18_pl|喀 剌 般 
trp_knight_3_19|阿 卡 丹 波 耶 
trp_knight_3_19_pl|阿 卡 丹 
trp_knight_3_20|顿 都 石 波 耶 
trp_knight_3_20_pl|顿 都 石 
trp_knight_4_1|伊 登 领 主 
trp_knight_4_1_pl|伊 登 
trp_knight_4_2|伊 阿 亚 领 主 
trp_knight_4_2_pl|伊 阿 亚 
trp_knight_4_3|奥 拉 夫 伯 爵 
trp_knight_4_3_pl|奥 拉 夫 
trp_knight_4_4|瑞 马 尔 德 领 主 
trp_knight_4_4_pl|瑞 马 尔 德 
trp_knight_4_5|图 亚 伯 爵 
trp_knight_4_5_pl|图 亚 
trp_knight_4_6|刚 德 波 耶 
trp_knight_4_6_pl|刚 德 
trp_knight_4_7|哈 罗 德 领 主 
trp_knight_4_7_pl|哈 罗 德 
trp_knight_4_8|鲁 达 波 耶 
trp_knight_4_8_pl|鲁 达 
trp_knight_4_9|海 达 波 耶 
trp_knight_4_9_pl|海 达 
trp_knight_4_10|特 尔 格 领 主 
trp_knight_4_10_pl|特 尔 格 
trp_knight_4_11|罗 格 森 领 主 
trp_knight_4_11_pl|罗 格 森 
trp_knight_4_12|艾 尔 瑞 克 波 耶 
trp_knight_4_12_pl|艾 尔 瑞 克 
trp_knight_4_13|法 恩 领 主 
trp_knight_4_13_pl|法 恩 
trp_knight_4_14|博 尔 巴 领 主 
trp_knight_4_14_pl|博 尔 巴 
trp_knight_4_15|雷 耶 克 波 耶 
trp_knight_4_15_pl|雷 耶 克 
trp_knight_4_16|迪 里 刚 领 主 
trp_knight_4_16_pl|迪 里 刚 
trp_knight_4_17|马 拉 伊 尔 领 主 
trp_knight_4_17_pl|马 拉 伊 尔 
trp_knight_4_18|吉 尔 斯 伯 爵 
trp_knight_4_18_pl|吉 尔 斯 
